ID,Cluster,coordinate1,coordinate2
4006,1,205695.000000,350751.000000
4008,1,210562.000000,349702.000000
4011,1,202963.000000,350426.000000
4013,1,217119.000000,349997.000000
4015,1,211540.000000,350642.000000
4017,1,208814.000000,348819.000000
4021,1,206844.000000,349909.000000
4022,1,210223.000000,350512.000000
4023,1,209081.000000,349335.000000
4035,1,205697.000000,351372.000000
4036,1,210088.000000,351410.000000
4040,1,214995.000000,350413.000000
4041,1,210804.000000,349576.000000
4043,1,207739.000000,349437.000000
4044,1,206788.000000,350348.000000
4045,1,209443.000000,351417.000000
4047,1,205380.000000,349584.000000
4048,1,210349.000000,349916.000000
4049,1,207569.000000,351027.000000
4050,1,211332.000000,351094.000000
4052,1,204020.000000,349817.000000
4055,1,202880.000000,349620.000000
4057,1,204645.000000,350927.000000
4058,1,212832.000000,351122.000000
4063,1,212576.000000,351712.000000
4066,1,211495.000000,351403.000000
4071,1,212869.000000,351819.000000
4076,1,205935.000000,350658.000000
4077,1,204698.000000,350533.000000
4078,1,212390.000000,351574.000000
4079,1,207167.000000,350072.000000
4080,1,204515.000000,349079.000000
4086,1,211592.000000,348377.000000
4089,1,208634.000000,349064.000000
4092,1,215195.000000,349555.000000
4099,1,207674.000000,349132.000000
4111,1,214693.000000,351281.000000
4117,1,204070.000000,349361.000000
4118,1,210973.000000,350780.000000
5072,1,206139.000000,350312.000000
5082,1,211381.000000,349224.000000
5084,1,207976.000000,350690.000000
5907,1,206865.000000,349260.000000
5088,1,211896.000000,351566.000000
4265,1,204412.000000,351231.000000
5092,1,213060.000000,350375.000000
4269,1,209984.000000,349944.000000
5095,1,209712.000000,350442.000000
4272,1,205267.000000,350791.000000
5099,1,209399.000000,350536.000000
4276,1,211247.000000,351617.000000
5100,1,211251.000000,350498.000000
5923,1,216293.000000,350679.000000
4277,1,204273.000000,351582.000000
5104,1,208623.000000,350015.000000
5112,1,209810.000000,349812.000000
5113,1,209499.000000,349264.000000
5117,1,209815.000000,349822.000000
5127,1,211353.000000,349029.000000
5950,1,207555.000000,348547.000000
5134,1,215326.000000,349677.000000
5136,1,212305.000000,351350.000000
4313,1,210153.000000,349344.000000
5137,1,210644.000000,348980.000000
5960,1,210981.000000,351138.000000
4314,1,210069.000000,349879.000000
5145,1,209269.000000,350053.000000
5152,1,213324.000000,348765.000000
5975,1,211987.000000,348685.000000
4329,1,208485.000000,349672.000000
5156,1,209787.000000,348578.000000
5171,1,209732.000000,351602.000000
4348,1,208117.000000,350395.000000
5183,1,206408.000000,350056.000000
5184,1,214366.000000,350739.000000
5187,1,207197.000000,351436.000000
5191,1,212135.000000,350367.000000
5192,1,208256.000000,349279.000000
4369,1,209844.000000,351140.000000
5200,1,209911.000000,349059.000000
4377,1,213648.000000,350458.000000
5202,1,207173.000000,351253.000000
5206,1,211415.000000,349665.000000
5210,1,210426.000000,349652.000000
4387,1,211299.000000,350642.000000
5211,1,207861.000000,348633.000000
4388,1,209500.000000,351174.000000
5216,1,205467.000000,348826.000000
5221,1,211907.000000,348469.000000
4398,1,208563.000000,351724.000000
5222,1,213220.000000,349517.000000
4399,1,210989.000000,351040.000000
5226,1,217086.000000,349296.000000
5235,1,207889.000000,349574.000000
5236,1,203766.000000,350366.000000
5237,1,207110.000000,349940.000000
5243,1,215660.000000,349377.000000
4420,1,214396.000000,351178.000000
5245,1,209333.000000,351769.000000
4422,1,209081.000000,350855.000000
5247,1,213026.000000,349548.000000
4424,1,215484.000000,350485.000000
5251,1,207752.000000,350928.000000
5254,1,214519.000000,349829.000000
5257,1,211667.000000,351752.000000
4434,1,211422.000000,349327.000000
5266,1,206532.000000,350081.000000
5269,1,211179.000000,348707.000000
5273,1,209195.000000,349954.000000
5275,1,210481.000000,349645.000000
4452,1,213576.000000,350669.000000
5277,1,207641.000000,348920.000000
5279,1,213319.000000,350791.000000
5285,1,207509.000000,349141.000000
4462,1,207961.000000,349712.000000
5287,1,207523.000000,348946.000000
4464,1,209512.000000,350138.000000
5289,1,209507.000000,350404.000000
4466,1,210646.000000,348510.000000
5290,1,213233.000000,348753.000000
4467,1,209977.000000,348553.000000
5296,1,211786.000000,350359.000000
5302,1,211950.000000,350975.000000
4479,1,210375.000000,351755.000000
5304,1,212184.000000,349565.000000
5305,1,215436.000000,348542.000000
5307,1,209618.000000,349575.000000
4484,1,204053.000000,348279.000000
5311,1,213317.000000,349551.000000
4488,1,204395.000000,349126.000000
5319,1,209897.000000,351030.000000
5335,1,206603.000000,350400.000000
5336,1,212265.000000,350427.000000
4513,1,208680.000000,350074.000000
5342,1,206022.000000,350356.000000
4519,1,209688.000000,350280.000000
5347,1,210458.000000,351242.000000
4524,1,207572.000000,348960.000000
5349,1,210990.000000,348248.000000
5350,1,209706.000000,350440.000000
4527,1,209389.000000,349016.000000
5352,1,212705.000000,351356.000000
5353,1,205836.000000,348679.000000
4530,1,213001.000000,349378.000000
5354,1,212007.000000,350530.000000
4531,1,209990.000000,349623.000000
5360,1,206778.000000,351474.000000
5362,1,210489.000000,349139.000000
4539,1,205489.000000,350374.000000
5372,1,209453.000000,349018.000000
5375,1,214630.000000,349024.000000
5376,1,203904.000000,349914.000000
4553,1,208067.000000,351400.000000
5378,1,207690.000000,350130.000000
5380,1,201861.000000,348646.000000
4557,1,212673.000000,350216.000000
5384,1,210288.000000,349320.000000
5389,1,212370.000000,348997.000000
4566,1,210169.000000,351646.000000
5391,1,207236.000000,351041.000000
5394,1,214045.000000,349969.000000
5400,1,215002.000000,349902.000000
5402,1,208943.000000,350752.000000
4579,1,208657.000000,348983.000000
5403,1,208776.000000,351685.000000
5408,1,216878.000000,348719.000000
4585,1,208442.000000,350337.000000
5409,1,214916.000000,351085.000000
4586,1,213035.000000,349481.000000
5422,1,214894.000000,350449.000000
4599,1,209413.000000,349589.000000
5430,1,207957.000000,351530.000000
4607,1,208040.000000,348276.000000
5437,1,209961.000000,349707.000000
4614,1,211952.000000,349089.000000
5440,1,210857.000000,349125.000000
5450,1,203259.000000,349323.000000
5455,1,220158.000000,348524.000000
5050,1,209871.000000,351156.000000
4132,1,207766.000000,351493.000000
5873,1,211024.000000,351425.000000
4227,1,208121.000000,348956.000000
5459,1,204364.000000,349627.000000
5468,1,205557.000000,351741.000000
5061,1,210982.000000,350601.000000
4238,1,206657.000000,349149.000000
5470,1,212077.000000,350207.000000
5476,1,213699.000000,351135.000000
4653,1,208795.000000,349879.000000
5078,1,215567.000000,350629.000000
5901,1,209850.000000,350202.000000
4255,1,203176.000000,351628.000000
5487,1,208917.000000,351701.000000
5495,1,213858.000000,349645.000000
5505,1,210286.000000,348455.000000
5506,1,210596.000000,351578.000000
5515,1,206520.000000,351279.000000
4692,1,211631.000000,350004.000000
5516,1,210768.000000,351193.000000
5519,1,212788.000000,350927.000000
5114,1,208657.000000,350171.000000
4291,1,212291.000000,350520.000000
5523,1,212480.000000,349914.000000
5115,1,211438.000000,348260.000000
5524,1,209858.000000,348843.000000
4701,1,210885.000000,350228.000000
5531,1,212123.000000,350240.000000
5123,1,211019.000000,351172.000000
4300,1,207044.000000,349367.000000
5532,1,214244.000000,348438.000000
5533,1,211795.000000,350752.000000
4065,1,217925.000000,349833.000000
5806,1,210169.000000,350998.000000
5198,1,208926.000000,349747.000000
4375,1,213317.000000,348545.000000
5607,1,207319.000000,348594.000000
4784,1,210840.000000,350115.000000
4072,1,210555.000000,348653.000000
5813,1,214098.000000,348555.000000
5205,1,209078.000000,349595.000000
5614,1,212170.000000,351791.000000
4095,1,209442.000000,348919.000000
5836,1,213874.000000,351760.000000
5013,1,210602.000000,351356.000000
5637,1,210277.000000,349174.000000
5429,1,212015.000000,348744.000000
4606,1,215472.000000,349801.000000
5838,1,211277.000000,350342.000000
4192,1,208977.000000,350463.000000
5639,1,215998.000000,351739.000000
5434,1,209528.000000,349151.000000
4611,1,209076.000000,350478.000000
4102,1,212721.000000,349864.000000
5843,1,212319.000000,350093.000000
5938,1,205068.000000,349126.000000
4197,1,211034.000000,349878.000000
5436,1,212892.000000,350189.000000
4613,1,213807.000000,350374.000000
4104,1,210021.000000,350910.000000
5845,1,208981.000000,349607.000000
4199,1,206160.000000,351156.000000
5439,1,212406.000000,351511.000000
4616,1,213929.000000,351066.000000
5848,1,213982.000000,349623.000000
5649,1,203722.000000,349934.000000
5850,1,216614.000000,350727.000000
5027,1,207811.000000,348367.000000
4204,1,212468.000000,349676.000000
5445,1,213080.000000,348764.000000
4622,1,206903.000000,351716.000000
5854,1,211187.000000,349457.000000
5446,1,217735.000000,349903.000000
5855,1,208252.000000,350069.000000
4115,1,211509.000000,349029.000000
5856,1,214431.000000,351498.000000
5033,1,206510.000000,348745.000000
4210,1,211489.000000,351162.000000
4116,1,208035.000000,349776.000000
5857,1,205087.000000,350862.000000
5658,1,210817.000000,351418.000000
4835,1,208963.000000,349289.000000
5044,1,212790.000000,349094.000000
4126,1,209078.000000,348773.000000
5867,1,212871.000000,349747.000000
4221,1,205966.000000,348625.000000
4121,1,208261.000000,349072.000000
5862,1,212346.000000,348502.000000
5039,1,211196.000000,348932.000000
5957,1,209557.000000,349363.000000
4216,1,207372.000000,351273.000000
5458,1,208190.000000,348179.000000
5259,1,207296.000000,349708.000000
5668,1,211129.000000,350176.000000
4845,1,212960.000000,350821.000000
5055,1,205619.000000,348244.000000
5464,1,210352.000000,349010.000000
5874,1,207592.000000,349147.000000
5683,1,207615.000000,350688.000000
4860,1,216997.000000,350403.000000
5065,1,210696.000000,351606.000000
5474,1,211744.000000,348220.000000
5883,1,208904.000000,351728.000000
5479,1,210034.000000,351075.000000
4656,1,208145.000000,350157.000000
5892,1,211666.000000,351612.000000
5069,1,207539.000000,348635.000000
5284,1,215498.000000,349100.000000
5693,1,209210.000000,348214.000000
4870,1,212613.000000,349010.000000
5297,1,210246.000000,350575.000000
4474,1,213324.000000,351771.000000
5706,1,208554.000000,348502.000000
4069,1,206844.000000,350324.000000
5810,1,209319.000000,350121.000000
